date,open,high,low,close,volume,symbol
2026-04-10,256.51,262.19,245.7,260.48,191923738,AAPL
2026-04-02,250.07,256.18,245.51,255.92,160393105,AAPL
2026-03-27,253.97,257.0,248.07,248.8,203871713,AAPL
2026-03-20,252.105,255.13,246.0,247.99,223388853,AAPL
2026-03-13,255.69,262.48,249.52,250.12,172752233,AAPL
2026-03-06,262.41,266.53,254.37,257.46,210978654,AAPL
2026-02-27,263.49,276.11,262.89,264.18,222748735,AAPL
2026-02-20,258.05,266.82,255.54,264.58,165588224,AAPL
2026-02-13,277.905,280.18,255.45,255.78,268299479,AAPL
2026-02-06,260.03,280.905,259.205,278.12,331689378,AAPL
2026-01-30,251.48,261.95,249.8,259.48,305741477,AAPL
2026-01-23,252.73,254.79,243.42,248.04,213320034,AAPL
2026-01-16,259.16,261.82,254.93,255.53,242545372,AAPL
2026-01-09,270.64,271.51,255.7,259.37,236725388,AAPL
2026-01-02,272.69,277.84,269.0,271.01,110986523,AAPL
2025-12-26,272.86,275.43,269.56,273.4,105646202,AAPL
2025-12-19,280.15,280.15,266.95,273.67,334459218,AAPL
2025-12-12,278.13,280.03,273.81,278.28,173978918,AAPL
2025-12-05,278.01,288.62,276.14,278.78,235050842,AAPL
2025-11-28,270.9,280.38,270.9,278.85,166067059,AAPL
2025-11-21,268.815,275.43,265.32,271.49,235974430,AAPL
2025-11-14,268.96,276.699,267.455,272.41,232952837,AAPL
2025-11-07,270.42,273.4,266.25,268.47,241487127,AAPL
2025-10-31,264.88,277.32,264.6501,270.37,293563310,AAPL
2025-10-24,255.885,265.29,255.43,262.82,253202889,AAPL
2025-10-17,249.38,253.38,244.7,252.29,196438474,AAPL
2025-10-10,257.99,259.07,244.0,245.27,213437899,AAPL
2025-10-03,254.56,259.24,253.01,258.02,218331739,AAPL
2025-09-26,248.3,257.6,248.12,255.46,309374646,AAPL
2025-09-19,237.0,246.3,235.03,245.5,360619530,AAPL
2025-09-12,239.3,240.15,225.95,234.07,304787017,AAPL
2025-09-05,229.25,241.32,226.97,239.69,212557180,AAPL
2025-08-29,226.48,233.41,224.69,232.14,194310890,AAPL
2025-08-22,231.7,233.12,223.7804,227.76,192241677,AAPL
2025-08-15,227.92,235.12,224.76,231.59,295311911,AAPL
2025-08-08,204.505,231.0,201.675,229.35,431826281,AAPL
2025-08-01,214.03,214.845,201.5,202.38,319915158,AAPL
2025-07-25,212.1,215.78,211.63,213.88,231062208,AAPL
2025-07-18,209.925,212.4,207.54,211.18,225669714,AAPL
2025-07-11,212.68,216.23,207.22,211.16,226036726,AAPL
2025-07-03,202.01,214.65,199.2607,213.55,273599330,AAPL
2025-06-27,201.625,203.67,198.96,201.08,273391727,AAPL
2025-06-20,197.3,201.7,195.07,201.0,224085074,AAPL
2025-06-13,204.39,206.0,195.7,196.45,283877006,AAPL
2025-06-06,200.28,206.24,200.12,203.92,227237774,AAPL
2025-05-30,198.3,203.81,196.78,200.85,223926033,AAPL
2025-05-23,207.91,209.48,193.46,195.27,273024261,AAPL
2025-05-16,210.97,213.94,206.75,211.26,264778294,AAPL
2025-05-09,203.1,204.1,193.25,198.53,275784672,AAPL
2025-05-02,210.0,214.56,202.16,205.35,286233457,AAPL
2025-04-25,193.265,209.75,189.8112,209.28,238181320,AAPL
2025-04-17,211.44,212.94,192.37,196.98,264593881,AAPL
2025-04-11,177.2,200.61,169.2101,198.15,675037558,AAPL
2025-04-04,217.005,225.62,187.34,188.38,366947884,AAPL
2025-03-28,221.0,225.02,217.68,217.9,190239113,AAPL
2025-03-21,213.31,218.84,209.97,218.27,287881958,AAPL
2025-03-14,235.54,236.16,208.42,213.49,331612070,AAPL
2025-03-07,241.79,244.0272,229.23,239.07,239653674,AAPL
2025-02-28,244.925,250.0,230.2,241.84,241760231,AAPL
2025-02-21,244.15,248.69,241.84,245.55,166541044,AAPL
2025-02-14,229.57,245.55,227.2,244.6,226587580,AAPL
2025-02-07,229.99,234.0,225.7,227.63,227428164,AAPL
2025-01-31,224.02,247.19,223.98,236.0,372790494,AAPL
2025-01-24,224.0,227.03,219.38,222.78,277129596,AAPL
2025-01-17,233.53,238.96,228.03,229.98,269145341,AAPL
2025-01-10,244.31,247.33,233.0,236.85,185241327,AAPL
2025-01-03,252.23,253.5,241.8201,243.36,171023105,AAPL
2024-12-27,254.77,260.1,253.06,255.59,133711783,AAPL
2024-12-20,247.99,255.0,245.69,254.49,368202745,AAPL
2024-12-13,241.83,250.8,241.75,248.13,192702674,AAPL
2024-12-06,237.27,244.63,237.16,242.84,208286552,AAPL
2024-11-29,231.46,237.81,229.74,237.33,198118837,AAPL
2024-11-22,225.25,230.7199,225.17,229.87,196343939,AAPL
2024-11-15,225.0,228.87,221.5,225.0,223817755,AAPL
2024-11-08,220.99,228.66,219.71,226.96,208083442,AAPL
2024-11-01,233.32,234.73,220.27,222.91,248222115,AAPL
2024-10-25,234.45,236.85,227.76,231.41,197299834,AAPL
2024-10-18,228.7,237.49,228.6,235.0,218140974,AAPL
2024-10-11,224.5,229.75,221.33,227.55,164894870,AAPL
2024-10-04,230.04,233.0,223.02,226.8,222348300,AAPL
2024-09-27,227.34,229.52,224.02,227.79,210673480,AAPL
2024-09-20,216.54,233.09,213.92,228.2,550232897,AAPL
2024-09-13,220.82,224.04,216.71,222.5,237622914,AAPL
2024-09-06,228.55,229.0,217.48,220.82,178491741,AAPL
2024-08-30,226.76,232.92,223.8905,229.0,209486001,AAPL
2024-08-23,225.72,228.34,223.04,226.84,188124897,AAPL
2024-08-16,216.07,226.8271,215.6,226.05,214898250,AAPL
2024-08-09,199.09,216.78,196.0,216.24,342088289,AAPL
2024-08-02,216.96,225.6,215.75,219.86,296061436,AAPL
